"Title","Author","Description","Body","Date posted","Minimum Participants","Maximum Participants","Minimum Duration","Maximum Duration","Minimum Cost","Maximum Cost","Facilitation?","","","","","","Stages","Stages (other)","","","","","","","","","",""
"Online Voting","Scott Fletcher","","Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and Effects Analysis and Lessons Learned Secondary Sources External Links Notes ","Thu, 02/04/2016 - 09:02","","","","","","","No","Express opinions/preferences only","","Co-governance (i.e. to share decision making with public authorities)","Open to all","Express opinions/preferences only","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods","Co-governance (i.e. to share decision making with public authorities)","Conflict Resolution, Decision-Making, Preference Articulation","","","","","Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)"
"Oregon Health Decisions","Cbo2","","The Oregon Health Decisions organization's method provides the opportunity for residents of Oregon from all ethnic, religious, and social backgrounds to get involved in the state's health care policy choices while being educated simultaneously on health...","Thu, 06/03/2010 - 16:44","","","","","","","No","Express opinions/preferences only","","Raise public awareness","Open to all","Express opinions/preferences only","","Initial Preference Aggregation","Regional (e.g. State, Province, Autonomous Region)","Distributing Individual Material Goods","Raise public awareness","Agenda Formation, Decision-Making, Implementation, Preference Articulation","3 - Somewhat Polarized","3 - Sometimes Interdependent on Other Issues","","","Community Based Organization, Individual","Academic Institution, Community Based Organization, Philanthropic Organization (i.e. dedicated to making monetary grants or gifts)"
"Organizational Learning","Denis Pageau","","","Sun, 07/31/2011 - 14:13","5","7000000000","1000000","1000000","","US$100000","Yes","","","Raise public awareness","Open to all with targeted recruitment","","","Trust Building","International","Achieving Public Goods, Addressing Identity-Based Issues","Raise public awareness","Conflict Resolution, Decision-Making, Implementation, Co-Production","1 - Not Polarized","5 - Always Tied to Other Issues","","","Individual","Individual, Philanthropic Organization (i.e. dedicated to making monetary grants or gifts), Community Based Organization, Academic Institution, Local Government (e.g. Village, Town, City), Regional Government (e.g. State, Provincial, Territorial), National Government, Other"
"Parliamentary Procedure","Lurkmoar",""," Definition 
Parliamentary procedure is the set of rules and bylaws adopted by various groups, ranging from the United States House of Representatives to high school Model United Nations clubs. Though its forms differ greatly between locations where it...","Fri, 06/04/2010 - 16:17","2","","1","365","","","Yes","Discussion, Dialogue, or Deliberation","","Make public decisions (i.e. exert direct authority)","Election","Discussion, Dialogue, or Deliberation","","Initial Preference Aggregation","","Achieving Public Goods","Make public decisions (i.e. exert direct authority)","Agenda Formation, Decision-Making, Implementation","3 - Somewhat Polarized","4 - Often Interdependent with Other Issues","","","Community Based Organization, Local Government (e.g. Village, Town, City), Regional Government (e.g. State, Provincial, Territorial), National Government, Other","National Government"
"Participatory Budgeting","Boutall","","DefinitionParticipatory budgeting is a decision-making process through which citizens deliberate and negotiate over the distribution of public resources.[1]Participatory budgeting programs are implemented at the behest of governments, citizens,...","Sat, 08/22/2009 - 06:37","","","1","365","US$500","US$50000","No","","","Make public decisions (i.e. exert direct authority)","Open to all","","","Initial Preference Aggregation","","Achieving Public Goods","Make public decisions (i.e. exert direct authority)","Decision-Making, Preference Articulation","2 - Not Very Polarized","3 - Sometimes Interdependent on Other Issues","","","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)"
"Participatory consensus conferences","Tessaw2","","Definition
The model of participatory consensus conference often knows as “the Danish model” and/or “citizens’ panel,” is a way to deliberate on policy issues with high technical content using a combination of lay citizens. The consensus conference...","Fri, 05/21/2010 - 17:30","14","14","4","4","","US$130","Yes","","","Raise public awareness","Random Selection","","","Deliberation","","Achieving Public Goods","Raise public awareness","","3 - Somewhat Polarized","4 - Often Interdependent with Other Issues","","","National Government","National Government"
"Participatory democracy","alexlinsker","","DefinitionParticipatory democracy is where people work together, doing hands on work, to get visible results.Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and Effects Analysis and...","Thu, 07/12/2012 - 23:58","","","","","","","No","","","","","","","","","","","","","","","","",""
"Pattern Language","Scott Fletcher","Participants approach an issue by breaking it down into generic sections like context, problem statement, solution etc. The pattern names that result form a vocabulary they can share and that is easy to impart to a wider population.","Note: this article is a stub and needs help with editing content. Please help us fill it out.DefinitionThis method involves groups of participants defining the key concepts about and issue and then organizing them into a shared language recognizable to...","Sat, 04/30/2016 - 08:47","","","","","","","No","Discussion, Dialogue, or Deliberation, Express opinions/preferences only","","Consultation (i.e. to advise decision makers), Community building (e.g. social capital)","Open to all, Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation, Express opinions/preferences only","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Addressing Identity-Based Issues, Providing Social Goods","Consultation (i.e. to advise decision makers), Community building (e.g. social capital)","Agenda Formation, Conflict Resolution, Decision-Making, Implementation, Preference Articulation","","","","","Academic Institution, Non-Governmental Organization (Non-profit), For Profit Business","Local Government (e.g. Village, Town, City)"
"Petition","Gsmith","Collection of signatures for proposition to be considered by public authority","**Definition**

**Problems and Purpose**

**History**

**Participant Selection**

**Deliberation, Decisions, and Public Interaction**

**Influence, Outcomes, and Effects**

**Analysis and Criticism**

**Secondary Sources**

**External Links**

**Notes**","Wed, 11/30/2011 - 09:20","","","","","","","No","","","","","","","","","","","","","","","","",""
"Planning Cells","Kms497","","DefinitionPlanning cells is a method for deliberation developed by Prof. Dr. Peter C. Dienel, and is designed to be a sort of ""micro-parliament."" In a planning cell, twenty five people from various backgrounds work together to develop a set of solutions...","Wed, 06/02/2010 - 00:41","25","25","4","7","","","Yes","","","Co-governance (i.e. to share decision making with public authorities)","Random Selection","","","Initial Preference Aggregation","","Achieving Public Goods","Co-governance (i.e. to share decision making with public authorities)","Agenda Formation, Implementation","2 - Not Very Polarized","2 - Seldom Tied to Other Issues","","","National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)","National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)"
"Policy Forum","Scott Fletcher","","The following is a stub, please help us fill it out. For an example of a policy forum see: http://everyday-democracy.org/resources/strong-starts-policy-forum-repor...Definition Problems and Purpose History Participant Selection Deliberation, Decisions,...","Mon, 04/18/2016 - 13:42","","","","","","","No","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers), Community building (e.g. social capital)","Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Addressing Identity-Based Issues","Consultation (i.e. to advise decision makers), Community building (e.g. social capital)","Agenda Formation, Preference Articulation","","","","","Local Government (e.g. Village, Town, City), Non-Governmental Organization (Non-profit)","Local Government (e.g. Village, Town, City), Non-Governmental Organization (Non-profit)"
"Pop-up Democracy","Publiccurator","","Definition
Pop-up democracy is a term for institutional forms that use temporary, site-specific practices to provide opportunities for increased local political and civic participation.

Purpose
The idea of pop-up democracy is built on the notion that...","Fri, 12/03/2010 - 02:38","","","","","","","Yes","","","Raise public awareness","Open to all","","","","","Providing Social Goods, Addressing Identity-Based Issues","Raise public awareness","Agenda Formation","","","","","Community Based Organization, Academic Institution, Individual, Other","Individual, Philanthropic Organization (i.e. dedicated to making monetary grants or gifts), Community Based Organization, Academic Institution, Local Government (e.g. Village, Town, City), Other"
"Practical Democracy","Koikaze","Practical Democracy is an electoral method that lets every member of the community actively participate in the political process.  It gives each person a way to influence the conduct of their government, to the full extent of their desire and ability.  The method creates a unique merger of self-interest and the public interest, lets the people impress their moral sense on their government, and inexorably advances the common interest.","SynopsisIntroductionObjectiveInclusivenessMethodElective and Appointive OfficesDescriptionHarnessing the Pursuit of Self-InterestBi-DirectionalitySimplified IllustrationTime Lapse ExampleCost And Time ConsumptionConceptWhy Practical Democracy...","Sun, 02/21/2010 - 16:13","3","Unlimited","5","312","","US$150000","No","Discussion, Dialogue, or Deliberation","","Make public decisions (i.e. exert direct authority)","Election","Discussion, Dialogue, or Deliberation","","Initial Preference Aggregation","","Achieving Public Goods","Make public decisions (i.e. exert direct authority)","Implementation","4 - Polarized","5 - Always Tied to Other Issues","","","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)"
"Project I-democracy","Matteo","This is a project I founded that it is solely meant as a case study for a possible direct democracy system using two levels of delegation.
The project is in no way a finalized one, but can provide some interesting ideas.
The whole system design is based on creating a simple, easy-to-use but still powerful enough system for direct democracy.
Main concepts are:
1)    two-level simple to-implement user delegation system, to allow user to be involved even if they do not have time and/or competence to join
2)    no implementation of law amending and collective law writing to avoid a too complex system
3)    having a central decisional group to coordinate law creation and voting. This group would however have no power to write or implement laws, just to control the whole process of system control
4)    direct feedback system (using a blog, for example) between users delegated to vote and user delegating their vote.

Site: www.i-democrazia.it","Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and Effects Analysis and Criticism Secondary Sources External Links Notes ","Mon, 01/09/2012 - 23:33","","","","","","","No","","","","","","","","","","","","","","","","",""
"Public Hearing","Czimmerman","","“The public hearing is perhaps the most widespread venue for public participation in the United States, used by all levels of government for a variety of purposes.”[1]


 Definition 
A public hearing is a type of public meeting, and much literature...","Wed, 06/02/2010 - 01:35","1","","1","","","","Yes","","","Consultation (i.e. to advise decision makers)","Open to all","","","Public Hearing","","Achieving Public Goods","Consultation (i.e. to advise decision makers)","Agenda Formation, Decision-Making, Implementation","3 - Somewhat Polarized","","","","Academic Institution, Local Government (e.g. Village, Town, City), Regional Government (e.g. State, Provincial, Territorial), National Government","Academic Institution, Local Government (e.g. Village, Town, City), Regional Government (e.g. State, Provincial, Territorial), National Government"
"Q&A with experts","Alli Welton","","","Wed, 04/11/2012 - 11:05","","","","","","","No","","","","","","","","","","","","","","","","",""
"Québec city neighbourhood councils","Bhererla","","Neighbourhood councils have been a part of Québec city’s democratic life for 20 years. The first experiences were implemented by the Ville de Québec in 1993, in order to get the citizens more closely involved in municipal politics. The concept was...","Mon, 12/02/2013 - 17:56","11","400","continue","","","","Yes","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers)","Open to all","Discussion, Dialogue, or Deliberation","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods","Consultation (i.e. to advise decision makers)","Agenda Formation, Conflict Resolution","2 - Not Very Polarized","2 - Seldom Tied to Other Issues","3 - Somewhat Complex","","Non-Governmental Organization (Non-profit)","Local Government (e.g. Village, Town, City)"
"Real Time Voting ","Austin","An variation of the Proxy/Liquid democracy models that avoids issues of definition of categories and the pitfalls of multiple degrees of proxy. The essence of the system is breaking the vote into sections which can be distributed to candidates in varying proportions according to the wishes of the voter and withdrawn at any time. A representatives voting weight and speaking time in the parliament (and possibly campaign funding) would rise and fall in real time in accordance with the sum of the tokens assigned to them. Intentions regarding votes would have to be announced in advance, giving voters a chance to withdraw their support before it was used against their wishes.","  Real time democracy is a system based around transforming the vote from a single use ticket issued once every four years, to a permanent possession of the voter – something that is lent (in part or full) to a representative the voter trusts...","Sun, 04/29/2012 - 19:16","","","","","","","No","","","","","","","","","","","","","","","","",""
"Representative Democracy","alexlinsker","Citizens elect representatives to represent them.","DefinitionCitizens elect representatives to represent them.Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and Effects Analysis and Criticism Secondary Sources External Links Notes ","Thu, 07/12/2012 - 23:56","","","","","","","No","","","","","","","","","","","","","","","","",""
"Representative Town Meeting","richards1000","Representative Town Meeting is a method of participatory self-government applied to municipalities. It is common in New England in the United States, and has its origins in congregational self-government exercised within the English Independent or Congregationalist churches.","DefinitionRepresentative Town Meeting is a method of participatory self-government applied to municipalities. It is common in New England in the United States, and has its origins in congregational self-government exercised within the English Independent...","Mon, 07/30/2012 - 23:39","","","","","","","No","","","","","","","","","","","","","","","","","Local Government (e.g. Village, Town, City)"
"Robert's Rules of Order","Shaunmoneil","","DefinitionRobert’s Rules of Order is book on parliamentary procedure. The title provides a detailed study of parliamentary procedure and how it is practiced in various settings. Currently in its 10th edition, the book has enjoyed widespread success and...","Tue, 06/08/2010 - 02:04","2","","1","","","","Yes","Discussion, Dialogue, or Deliberation","","Raise public awareness","","Discussion, Dialogue, or Deliberation","","Initial Preference Aggregation","","","Raise public awareness","","","","","","","National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), Academic Institution, Community Based Organization"
"Scenario Workshop","sgzsmith","","DefinitionA Scenario Workshop is a participatory method encouraging local action with a mix of scenario and workshop which aims to solve local problems and anticipate future ones[1]{C}{C}{C}. Scenarios involve narrative descriptions of potential future...","Sun, 02/26/2012 - 19:22","24","32","2 days","3 days","","","Yes","Discussion, Dialogue, or Deliberation, Acting/Drama, Organized Demonstrations","","Consultation (i.e. to advise decision makers), Collaborative delivery of services with public authorities, Raise public awareness, Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation, Acting/Drama, Organized Demonstrations","","The Critical Phase, The Visionary Phase, and The Implementation Phase","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Providing Social Goods","Consultation (i.e. to advise decision makers), Collaborative delivery of services with public authorities, Raise public awareness, Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","Conflict Resolution, Decision-Making, Implementation","3 - Somewhat Polarized","5 - Always Tied to Other Issues","3 - Somewhat Complex","","International Organization, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), For Profit Business","International Organization, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), For Profit Business"
"Schools of Participation","Carolina","","","Mon, 04/19/2010 - 05:22","","","","","","","No","","","","","","","","","","","","","","","","",""
"Service-learning","Sarena Seifer","","","Fri, 12/30/2011 - 11:22","","","","","","","No","","","","","","","","","","","","","","","","",""
"Simulation Exercise","Sgoold","","“Choosing Healthplans All Together” (CHAT) is a small group simulation exercise designed to give the public a voice in setting health or health care spending priorities. It has been used for research, policy and teaching purposes. The exercise can be...","Mon, 05/10/2010 - 18:44","9","15",".25",".5","","","Yes","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers)","Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation","","Initial Preference Aggregation","","Providing Social Goods, Distributing Individual Material Goods","Consultation (i.e. to advise decision makers)","Preference Articulation, Decision-Making","4 - Polarized","5 - Always Tied to Other Issues","","","Community Based Organization, Academic Institution, Local Government (e.g. Village, Town, City), Regional Government (e.g. State, Provincial, Territorial)","Community Based Organization, Academic Institution, Local Government (e.g. Village, Town, City), Regional Government (e.g. State, Provincial, Territorial), National Government"
"Social Forum","Kylab",""," Definition  A Social Forum is a one to four day event that addresses a wide number of topics of concern to civil society organizations and individuals opposed to neoliberal economic globalization through workshops, demonstrations, panels and plenary...","Mon, 06/28/2010 - 21:29","10","500000","1","4","","","No","Negotiate & Bargain","","Raise public awareness","Open to all","Negotiate & Bargain","","","International","Addressing Identity-Based Issues, Providing Social Goods","Raise public awareness","Agenda Formation, Implementation, Preference Articulation","2 - Not Very Polarized","5 - Always Tied to Other Issues","","","Individual, Other",""
"Sociocracy","jschinnerer","","Sociocracy is a whole system design for organizational governance and structure. It is applicable to and useful for any group of people who want to accomplish something together. The ""socios"" in sociocracy are the ""colleagues"" or ""companions"" - people...","Wed, 11/26/2014 - 12:56","1","Varies","Ongoing","Ongoing","US$0","US$0","Yes","Discussion, Dialogue, or Deliberation, Negotiate & Bargain, Other","","Other","Other","Discussion, Dialogue, or Deliberation, Negotiate & Bargain, Other","","","","","Other","Agenda Formation, Co-Production, Conflict Resolution, Decision-Making, Implementation, Preference Articulation","3 - Somewhat Polarized","4 - Often Interdependent with Other Issues","4 - Quite Complex","","",""
"Socratic Cafés","Anniegulian","","Definition
The Socratic Café (also known as Socrates Café) is a democratic discussion forum based on the more commonly known Socratic Method, which focuses its intentions on being an open system that allows for philosophical questioning. An unofficial...","Mon, 12/06/2010 - 20:18","2","",".08","1","US$0","","Yes","","","Develop individual capacities (e.g. skills, learning)","Open to all","","","","","","Develop individual capacities (e.g. skills, learning)","","3 - Somewhat Polarized","3 - Sometimes Interdependent on Other Issues","","","Other","Other"
"Spokes Council - Occupy Vancouver","Jesi Carson","This Spokes Council model was developed for Occupy Vancouver and is based on previous models developed for Occupy Wall St. and Occupy Portland.","DefinitionOccupy Vancouver Spokes Council ModelSubmitted by the Spokes Council Work Group(A Living Document)Dec 12th 2011 Brief History of the Spokes Council:The spokes council model is a structure for democratic process that has been used for many years...","Tue, 01/31/2012 - 12:02","","","","","","","Yes","Discussion, Dialogue, or Deliberation","","Direct delivery of public services (i.e. by entities other than government)","Open to all","Discussion, Dialogue, or Deliberation","","","","","Direct delivery of public services (i.e. by entities other than government)","","","","","","",""
"Stakeholder Group Process","Plscully","","This is a stub. Please feel free to write a full description of what puiblic engagment researchers pracitioners mean when they talk about ""stakeholder group process.."" See, for example""Multistakeholder Processes: Making Public Involvement Work"" by Dr....","Thu, 05/30/2013 - 11:25","","","","","","","No","","","","","","","","","","","","","","","","",""
"Strike","Plscully","","This is a stub. Here is a description of ""strike action"" from Wikipedia http://en.wikipedia.org/wiki/Strike_action Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and...","Thu, 03/07/2013 - 06:49","","","","","","","No","","","","","","","","","","","","","","","","",""
"Study Circles","Shirleykim12","","DefinitionStudy circles -- also called Dialogue-to-Change programs, Dialogue-to-Action, or Dialogue Circles -- emphasize small group deliberation by providing opportunities for members of a community to meet face-to-face and discuss a particular set of...","Tue, 12/07/2010 - 08:30","3","300","1","180","","","Yes","","","Develop individual capacities (e.g. skills, learning)","Open to all with targeted recruitment","","","Trust Building","","Achieving Public Goods, Addressing Identity-Based Issues, Providing Social Goods","Develop individual capacities (e.g. skills, learning)","Implementation","3 - Somewhat Polarized","3 - Sometimes Interdependent on Other Issues","","","Local Government (e.g. Village, Town, City), Academic Institution, Community Based Organization","Local Government (e.g. Village, Town, City), Academic Institution, Community Based Organization, Individual"
"Surveys","Alli Welton","","","Wed, 04/11/2012 - 11:02","","","","","","","No","","","","","","","","","","","","","","","","",""
"Term limits","alexlinsker","Term limits. Pros: constant education, transparency/accountability, the governors become the governed. Cons: see pros.","DefinitionTerm limits are a defined maximum amount of time that a person can be in any representative office for any reason.Problems and PurposePros: constant education, transparency/accountability, the governors become the governed. Cons: see pros....","Thu, 07/12/2012 - 23:58","","","","","","","No","","","","","","","","","","","","","","","","",""
"The Black Sash Model of Community Based Monitoring (CBM)","Meshay Moses","Community-based monitoring (hereafter referred to as CBM) allows civil society to gather and analyse information from government service users’ points of view. It recognises that citizens are active holders of fundamental rights and not merely passive users of public services. As a result, CBM provides strong evidence to take back to government and, where necessary, into the public domain, in order to better the delivery of services where needed and to acknowledge good service where it is provided.","Description of Black Sash CBM ModelCommunity-based monitoring (hereafter referred to as CBM) allows civil society to gather and analyse information from government service users’ points of view. It recognises that citizens are active holders of...","Tue, 05/03/2016 - 04:24","","","","","","","No","","","","","","","","","","","","","","","","",""
"THE OCCUPY MOVEMENT'S USE OF SOCIAL MEDIA AS AN ORGANIZING METHOD","Natalia Shafa","The Occupy movement would not be possible without the use of social media to connect, organize, coordinate, and expand.","DefinitionThe Occupy Movement relies heavily on the use of social media as an organizing method to coordinate protest activities and connect individuals.  Protestors have create Facebook sites such as Occupy Together to coordinate mass protests. ...","Thu, 03/01/2012 - 11:28","","","","","","","No","Organized Demonstrations","","Protest","Open to all","Organized Demonstrations","","","International","","Protest","","4 - Polarized","5 - Always Tied to Other Issues","5 - Highly Complex","","Community Based Organization, Individual","Not Applicable"
"The Right of Initiative to public consultations ","Bhererla","","The Right of Initiative to public consultations was adopted by the Montréal city council in September 2009 and has been in effect since January 1, 2010. This new democratic tool allows the Montrealers to initiate a public consultation on any matter that...","Mon, 12/02/2013 - 17:59","5000","15000","","","","","No","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers)","Open to all","Discussion, Dialogue, or Deliberation","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods","Consultation (i.e. to advise decision makers)","Agenda Formation","1 - Not Polarized","3 - Sometimes Interdependent on Other Issues","2 - Not Very Complex","","Local Government (e.g. Village, Town, City)","Community Based Organization, Individual"
"The World Cafe","Haleymj3","","Definition
The World Café defines itself as “a conversational process based on a set of integrated design principles that reveal a deeper living network pattern through which we co-evolve our collective future” [1]  It is a methodology for hosting...","Thu, 06/03/2010 - 16:30","10","5000","1","365","","US$100000","Yes","","","","","","","Trust Building","","Providing Social Goods, Addressing Identity-Based Issues","","","4 - Polarized","3 - Sometimes Interdependent on Other Issues","","","Community Based Organization, Academic Institution, Local Government (e.g. Village, Town, City), Philanthropic Organization (i.e. dedicated to making monetary grants or gifts), Individual, Other","Individual, Philanthropic Organization (i.e. dedicated to making monetary grants or gifts), Community Based Organization, Academic Institution, Local Government (e.g. Village, Town, City), Other"
"University Student Government","Sarah round","","DefinitionUniversity Student Governments serve as the official voice for students in University affairs and to external organizations. When students are brought to the table in the Universities’ decision-making process it ensures multiple voices are...","Fri, 06/04/2010 - 09:38","30","40","270","365","US$50","US$700","Yes","","","Consultation (i.e. to advise decision makers)","Open to all","","","Deliberation","","Achieving Public Goods, Providing Social Goods","Consultation (i.e. to advise decision makers)","Decision-Making, Implementation","2 - Not Very Polarized","4 - Often Interdependent with Other Issues","","","Academic Institution","Academic Institution"
"VoterMedia","Mark Latham","VoterMedia is a new incentive structure for encouraging public interest media to develop, to flourish and to cover issues that matter to a voter community. A typical first-step implementation is a blog competition in a small democracy such as a student union or a municipality. Voters allocate a limited budget of community funds among various competing blogs. This helps to engage and inform voters, better connecting them with elected leaders, thus contributing to better governance. It is designed to improve the policies of democracies and corporations.","DefinitionVoterMedia is an incentive structure for encouraging public interest media to develop, to flourish and to cover issues that matter to a voter community. A typical first-step implementation is a blog competition in a small democracy such as a...","Sun, 02/12/2012 - 17:04","1,000-member community","","1 month","","US$4000","","No","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers), Raise public awareness, Community building (e.g. social capital)","Open to all","Discussion, Dialogue, or Deliberation","","blogging, reading the blogs, commenting, voting, allocation of funds","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods","Consultation (i.e. to advise decision makers), Raise public awareness, Community building (e.g. social capital)","Agenda Formation, Decision-Making, Preference Articulation, Public Marketing","4 - Polarized","4 - Often Interdependent with Other Issues","4 - Quite Complex","","Non-Governmental Organization (Non-profit)","Local Government (e.g. Village, Town, City)"
"Washington State Initiative Process","Ceric56","","Washington State uses the initiative process which gives direct power to the voters to enact new laws or change existing ones effectively allowing the electorate to place legislation on the ballot so long as they meet certain criteria. By collecting a...","Tue, 12/07/2010 - 09:23","","","","","US$5","","Yes","","","","Open to all","","","Decision-Making","","Achieving Public Goods","","","3 - Somewhat Polarized","1 - Always Isolated and Usually Not tied to Other Issues","","","","Individual"
"We the People: The Citizen and the Constitution","Un Gato","","Definition
We the People is an elementary and secondary school oriented civic education process designed to enable students to learn about and address civic issues locally, regionally, and nationally.  It works to allow the student participants to...","Fri, 06/04/2010 - 15:41","3","42","1","1","","","Yes","","","Raise public awareness","Open to all","","","Deliberation","","Achieving Public Goods","Raise public awareness","Public Marketing, Preference Articulation","5 - Very Polarized","5 - Always Tied to Other Issues","","","Academic Institution","Community Based Organization, Local Government (e.g. Village, Town, City), National Government"
"WE-DECIDE","Erdem","","Thorough documentation will follow.
Interested parties can contact:
info@we-decide.net
www.we-decide.net
","Tue, 05/25/2010 - 10:17","50","10","30","90","","US$1","No","","","Make public decisions (i.e. exert direct authority)","Open to all with targeted recruitment","","","Initial Preference Aggregation","","Achieving Public Goods, Distributing Individual Material Goods","Make public decisions (i.e. exert direct authority)","","","4 - Often Interdependent with Other Issues","","","",""
"Wikivote ","yarmakhov","","Definition The Wikivote methodology was developed by a Russian company Wikivote. It is based on a wiki approach to document composition. Project participants treat the the document, such as a law or a regulations  as a construction kit, consisting of...","Mon, 12/26/2011 - 16:14","100","10 000","1 week","6 months","","","Yes","Discussion, Dialogue, or Deliberation","","Community building (e.g. social capital)","Open to all","Discussion, Dialogue, or Deliberation","","","National","","Community building (e.g. social capital)","Agenda Formation, Implementation, Preference Articulation","","3 - Sometimes Interdependent on Other Issues","4 - Quite Complex","","National Government, Regional Government (e.g. State, Provincial, Territorial), For Profit Business","National Government, Regional Government (e.g. State, Provincial, Territorial), For Profit Business"
"Workers' Council","Felisa Deang","A workers’ council is a method of governance by workers of themselves through selected delegates sent to represent them either through direct positions of leadership or through communication with those in positions of power or management. The management of a workplace or an enterprise comes together with the selected delegates to negotiate and bargain on issues selected by the workers to be the agenda of the discussions.","DefinitionA workers’ council is a method of governance by workers of themselves through selected delegates sent to represent them either through direct positions of leadership or through communication with those in positions of power or management. The...","Thu, 02/09/2012 - 09:34","","","","","","","No","Negotiate & Bargain","","Co-governance (i.e. to share decision making with public authorities)","Open to all","Negotiate & Bargain","","","National","","Co-governance (i.e. to share decision making with public authorities)","Co-Production, Conflict Resolution, Decision-Making","","","","","Union, For Profit Business","National Government"
"Yanjian Model of Participatory Budgeting","Scott Fletcher","","Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public InteractionThe preparation stage before really voting on the budget plan encompassed two major segments. First comes the determination of the total capital...","Wed, 02/03/2016 - 08:33","","","","","","","No","Discussion, Dialogue, or Deliberation, Express opinions/preferences only","","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Collaborative delivery of services with public authorities, Community building (e.g. social capital)","Open to all, Random Selection, Election","Discussion, Dialogue, or Deliberation, Express opinions/preferences only","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Distributing Individual Material Goods, Providing Social Goods","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Collaborative delivery of services with public authorities, Community building (e.g. social capital)","Agenda Formation, Preference Articulation","","","","","Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)"
"Youth Participatory District Councils","Scott Fletcher","","DefinitionRosario, ArgentiaThe Youth Participatory District Council is a space of permanent participation made up by councilors elected in the neighborhood assemblies in the first round of the Participatory Budget (PPJoven). Once the first round is...","Sat, 02/13/2016 - 09:11","","","","","","","No","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers), Raise public awareness","Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Providing Social Goods","Consultation (i.e. to advise decision makers), Raise public awareness","Agenda Formation, Preference Articulation","","","","","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)"
