"Title","Description","Body","Annual Budget","Country","Executive Director","Fulltime Staff","Part-time Staff","Volunteer Count"
"Neu&kühn","","neu&kühn is a companion and developer of online projects with public participation. With an active interest in e-participation, we provide advice for politics, administrations and institutions in the German-speaking area, especially in Austria, where...","","","Peter Kühnberger","3","2","1"
"New forms of participation in Finland - research project","This two-year research project, covering academic years 2014-2015 and 2015-2016 and funded by the Prime Minister's Office, aims to analyze the use, impacts and prospects of new forms of civic participation in the context of Finnish representative democracy both at the national and at the local level. The project is carried out at the Department of Political Science and Contemporary History at the University of Turku.","This two-year research project, covering academic years 2014-2015 and 2015-2016 and funded by the Prime Minister's Office, aims to analyze the use, impacts and prospects of new forms of civic participation in the context of Finnish representative...","","","Prof. Maija Setälä","","",""
"New Jersey Coalition for the Public Good","","The Coalition is a nonprofit organization with the aim of promoting respectable government policies and practices in New Jersey. ","","United States","","","",""
"New York Department of Environmental Conservation","","Stubhttp://www.dec.ny.gov/index.html","","United States","","","",""
"New York Faith & Justice","NY Faith & Justice is a growing movement of churches, organizations, and individuals committed to following Christ, uniting the church and ending poverty in New York through spiritual formation, education and direct advocacy."," New York Faith and Justice (NYFJ) is made up of churches, organizations, and individuals committed to ending poverty in New York through education and direct advocacy. NYFJ’s Legacy Project “Pressing for Food Justice to Press Against Diabetes” aimed to...","","United States","Lisa Sharon Harper","","",""
"New York State Department of Environmental Conservation","","Note:  This article is a stub and the Participedia community will appreciate any work you can do to help us complete it by providing additional content and/or editing existing content. Thank you!Mission and Purpose History Specializations and activities ...","","United States","","","",""
"newDemocracy Foundation","newDemocracy Foundation (nDF) is a non-profit, non-partisan research and political action organisation based in Sydney, Australia. Founded in 2004 by Luca Belgiorno-Nettis, nDF aims to identify improvements to the democratic process. It conducts practical real world trials to show communities that democracy is an area where we can innovate. Random selection of citizens - the jury model - is a central concept newDemocracy seeks to test in terms of its usefulness in public decision making.

Since its first major project, the Australia Citizens’ Parliament in 2009, newDemocracy has presided over more than 20 democratic projects including citizens’ juries, participatory budgeting processes and community panels.","This page is a work in progress. Purpose and MissionnewDemocracy puts citizens at the heart of their mission to ‘innovate in how we do democracy’. This is underpinned by the conviction that a random selection of everyday citizens are more than capable of...","","Australia","Iain Walker","","",""
"Newid","","About Newid (Change)Newid is a new kind of political organisation. Its politics aren’t left wing or right wing and neither are they centrist. Newid can’t be put in a box, because it represents an entirely different approach to the way we, the people,...","","","","","",""
"NH Listens","NH Listens works at the local, regional and statewide levels to facilitate and support civil, public conversations of complex, polarizing issues. We share resources on dialogue design, train facilitators, and work with local and state leaders to create fair and respectful conversations. NH Listens does not take a stand on issues but seeks to earn trust as a fair and neutral convener.  We catalyze the social capital necessary to implement those decisions and policies, making New Hampshire a better place to live and work for everyone.","Mission and PurposeBringing people together for engaged conversations and informed community solutions   Our work: Create engaged community conversations on local and statewide issuesFoster the development of and serve as a resource and support network...","","United States","","","",""
"Observatoire Parisien de la Démocratie Locale","","Paris's Local Democracy Observatory was created in April 2004 with the primary aim of evaluating the quality and development of participatory democracy in Paris.  To meet this goal, the observatory publishes an annual report on the mechanisms in place in...","","France","Jean-Pierre Worms (President)","","",""
"Occupy Seattle ","The Occupy Seattle movement is a Seattle based organization created by the 99%, in response to the 1% who control 99% of all the wealth in America. Through public assembly, the participants challenge the roles of government, corporations, and big banks throughout the greater Seattle area."," Submitted: Friday, February 24, 2012 - 11:30 Logo provided by www.reddit.com   The Occupy Seattle movement is a Seattle based organization created by the 99%, in response to the 1% who control 99% of all the wealth in America. Through public assembly,...","Since September, budget ranged from $160-$500 per week ","United States","NA","NA","Volunteer","Varies"
"Occupy Vancouver","Occupy Vancouver is not represented by any one individual. It is a consensus-based decision making body built upon the views and beliefs of all those who participate in the General Assembly process.","Statement of UnityWe humbly acknowledge that Occupy Vancouver is taking place on unceded Coast Salish territories.We, the Ninety-Nine Percent, come together with our diverse experiences to transform the unequal, unfair, and growing disparity in the...","","Kanada","","","","100+"
"OD Russia","","Purpose and MissionoD Russia (also known as openDemocracy Russia) is a special project conducted by the deliberative media project, OpenDemocracy.net, for the purposes of expanding deliberation and meaningful discussion over relevant topics of political...","823","","Oliver Carroll/Zygmunt  Dzieciolowski","5","3","3"
"Office of Public Engagement","","Purpose and Mission
The purpose of the Office of Public Engagement(OPE) is to provide the American public with a more open, inclusive government.  By planning special public events and online activities, the OPE enables citizens to communicate directly...","","","Christina Tchen/Valerie Jarrett","20","",""
"Office of the President of Mongolia","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Ohio Latino Affairs Commission","","Mission and PurposeThe Ohio Latino Affairs Commission is a state government agency with a statutory mandate to advise policy makers and elected officials on issues affecting Hispanic Ohioans, to connect the diverse Latino communities across the state,...","","United States","","","",""
"Omnibus for Direct Democracy","","Contents1 The OMNIBUS FOR DIRECT DEMOCRACY IN GERMANY2 Willkommen beim OMNIBUS FÜR DIREKTE DEMOKRATIE3 omnibus, lat. = für alle, durch alle, mit allen4 Auf verschiedene WeisenThe OMNIBUS FOR DIRECT DEMOCRACY IN GERMANYis a citizens’ initiative dedicated...","","","","","",""
"Online Party of Canada","The Online Party of Canada (French: Parti en ligne du Canada, abbreviated as OPC), is a Canadian website founded in October 2010 and is in the process of formally registering as a political party with Elections Canada.","Contents
1 About OPC
2 Mission
3 Founding and governing principles
4 Political Platform
5 Membership
6 See also
7 References
8 External links
  About OPC 
Online Party of Canada (OPC) is an Internet-based Political Party, pending registration.
OPC is a...","","United States","","","",""
"Ontario Provincial Government","","","","United States","","","",""
"Open Government","","OpenGovernment is a free and open-source public resource website for government transparency and civic engagement at the state and local levels. The site is a non-partisan joint project of two 501(c)3 non-profit organizations, the Participatory Politics...","","","","","",""
"Open North","","Open North creates websites to promote government transparency and public participation.Citizen BudgetGovernments use our interactive budget simulator to run online consultations that collect meaningful, considered input from...","","Canada","James McKinney","","",""
"Open Society Institute - Sofia ","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"OpenMedia","OpenMedia is a Canadian not-for-profit that","Open MediaMission and Purpose""To keep the Internet open, affordable, and surveillance-free. We create community-driven campaigns to engage, educate, and empower people to safeguard the Internet.""Type of organization:non-partisan, non-profit  Method:...","","","","","",""
"OpenPolis","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Oregon's Kitchen Table","Oregon’s Kitchen Table is an online forum where community members can deliberate about public policy issues. This is an open, online, deliberative setting. The organization helps get Oregon citizens engaged in public issues, which helps decision makers make decisions that reflect what Oregonians really want. Oregon’s Kitchen Table started off as an experiment of the College of Urban and Public Affairs at Portland State University. Oregon’s Kitchen Table is still a brand new tool used to close the gap between citizens and government, but it has been successful in the first consultation so now they are in their second and moving forward.","Mission and Purpose           The Oregon’s Kitchen Table key objective is to provide a neutral, non bias space for Oregonians to participate in deliberation that will lead to effective decision making. This organization wants all Oregonian voices to be...","","United States","Wendy Willis and Sarah Giles ","","",""
"Oregon's Kitchen Table ","Oregon's Kitchen Table is an online forum where community members can deliberate about public policy issues. This is an open, online, deliberative setting. Oregon's Kitchen Table is an experiment of the College of Urban and Public Affairs at Portland State University.","Mission and Purpose:The Oregon's Kitchen table key objectives is to have deliberative conversations that will lead to affective decision making. This organization wants all voices to be heard. Most of the time people want to be apart of this decision...","","United States","Wendy Willis and Sarah Giles ","","",""
"Pan-European e-Participation Network (PEP-NET)","","PEP-NET is a European network of all stakeholders active in the field of eParticipation. PEP-NET includes public bodies, solution providers and citizen organizations as well as researchers and scientists. The network is open to all organizations willing...","","","","","",""
"Participant","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Participation and sustainable development in Europe","","Participation and sustainable development in Europe provides basic information about participation and sustainable development, introduces related issues such as environmental mediation, refers to interesting case histories of successful participation...","","United States","","","",""
"Participation Cymru",""," Mission and Purpose 
Participation Cymru is a partnership of public and third sector organisations that is hosted by WCVA and supported by an Advisory Panel that provides advice and guidance on strategic development. They provide innovative training,...","","","Mandy Williams","","",""
"Participation Unit at Save the Children Wales","","Mission and PurposeSave the Children Wales hosts a Participation Unit on behalf of the Children and Young People's Participation Consortium for Wales. The unit aims to increase and promote the full and active participation of children in the decisions...","","","","","",""
"Participation Workers’ Network for Wales","","Mission and PurposePWNW is a web based service for organisations working with Children and Young People in the field of Participation in Wales.It offers monthly e-briefings, news and updates from the field of participation. It also offers information on...","","","","","",""
"Participation Works","","Mission and PurposeParticipation Works enables organisations to effectively involve children and young people in the development, delivery and evaluation of services that affect their lives.They are a consortium made up of the following six agencies: the...","","United Kingdom","Mandy Douglas","","",""
"Participatory Budgeting Unit, Manchester, UK","","Please note the PB Unit closed on the 31st March 2012.There is a legacy body which can be contacted via PB partnersMission and PurposeThe PB Unit was a project of the charity Church Action on Poverty based in Manchester. Church Action on Poverty has been...","","United Kingdom","Mark Waters","5","1","1"
"Participatory Politics Foundation","The Participatory Politics Foundation is a 501(c)3 non-profit organization with a mission to increase civic engagement. PPF develops free Web tools that create new opportunities for engagement with government.","Mission and PurposeOur work to help build public knowledge about Congress is guided by the 8 Principles of Open Government Data: public data should be open to the public, full stop. We demand that the U.S. government comply immediately and in full with...","","","","","",""
"Participatory Practitioners for Change","","Mission and PurposeThe PPC are an affiliation of people involved in different ways, in work around participation.They are active in a range of different sectors in the UK (health, community development, social exclusion, environment), in a range of...","","","","","",""
"Participatory Training",""," Mission and Purpose 
Participatory Training provides training and support for people who want to use participatory methods in their work to involve and engage others.This includes community consultation and research by involving community members in...","","","John Rowley and Kate Gant","2","",""
"Particitiz - Participation and Citizenship","","PARTICITIZ is a network of university professors and political scientists, deliberative and participatory specialists, digital entrepreneurs and representatives of the culture and business sectors.PARTICITIZ designs, develops and puts into place...","","Belgium","Dimitri Lemaire","","",""
"Partido da Terra (Party of the Earth / Party of the Land)","The Partido da Terra (literaly Party of the Land or Party of the Earth), is a Galizan political organization established in 2011 with the goal of advancing direct democracy.","Mission and PurposeThe platform of the Partido da Terra encompasses eight types of sovereignty, based on the application of direct democracy at all levels: citizen sovereignty, which calls for a political reform based on direct democracy; territorial...","0","United States","","0","0","70"
"Partido de Internet","","Qué es el PDI


What is PDI?
Our mission is to restore democracy in Spain.
The Internet party has as objective to give voice to every citizen in the political process. Through our platform you can vote on every initiative presented in the Cortes...","","","","","",""
"Partido de la Red (Net Party)","Partido de la Red (Net Party) is an Argentinean political party that proposes a hybrid model of representative and direct democracy online (liquid democracy), with the goal of getting elected a congressman to systematically vote according to what the citizenry decides online.","Mission Partido de la Red (Net Party) is an Argentinean political party that proposes a hybrid model of representative and direct democracy online (liquid democracy), with the goal of getting elected a congressman to systematically vote according to what...","","Argentina","","","",""
"PASOK Political Party","","The Panhellenic Socialist Movement, also known as PASOK, is the political party that welcomed the idea of Deliberative Polling and put it in to practice for the first time when selecting the electoral candidate for Marousi’s mayor in 2006. PASOK is one...","","Greece","George Papandreou","","",""
"PBPartners","Expert support for Participatory Budgeting.

We can assist you in delivering community engagement processes that can really empower citizens and help drive innovation in public services. Building on over 12 years experience of running successful Participatory Budgeting(PB) projects, and involving the leading experts on PB in the UK.

As a social enterprise, you can be confident that the work we do leads to sustained change and represents excellent value for money.

Contact us if you need information on our services,

and don’t forget…The PB Unit website contains a range of free resources relating to Participatory Budgeting (PB) including videos, case studies and toolkits.","Mission and PurposePB Partners are dedicated to community empowerment.Formed as part of the legacy of the PB Unit, we are experts in the field of Participatory Budgeting(PB). We operate across England, Scotland, Wales and Northern Ireland, and can assist...","","United Kingdom","Jez Hall","","",""
"Penn Project for Civic Engagement","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Pew Center for Civic Journalism","","The Pew Center for Civic Journalism was an organization that invested in multiple experiments within the field of journalism to encourage an interest in politics among the public. These experiments involved finding new, innovative ways to present the...","230","","Jan Schaffer","27","",""
"Pirate Parties","The Pirate Party is one of the fastest growing political movements today. It was started on January 1, 2006, originally named Piratpartiet in Sweden. It aims to change the world through politics of protesting and political deliberation. A majority of their issues deal with reforming copyright laws, the first amendment and increasing the rights to privacy.  

     The Pirate Party is the social progressive party in the United States and other parts of the World. It focuses on the “civil liberties, intellectual property reform, and the empowerment of people to have good, long, healthy lives and to have equal voice in government” (McCrea). Activists of this party can be defined as being apart of a liberal/ progressive political party.  Founder Rickard Falkvinge, ultimately hopes to restore people’s freedom of speech back to the way it was 40 years ago, our parents era where there was minimal tracking.  

     Today, the Pirate Party has been established in 56 countries. It not only holds two seats in European parliament and 15 seats in the Berlin Parliament, but also over 150 seats in local councils.  It is also the largest party for voters under the age of 30 in Sweden.","Mission and Purpose     The Pirate Party’s goal is to change laws that are compromising copyrights and the rights to privacy. They believe in complete freedoms of speech and openness, free from censorships, wire-tapping, and the inability to be anonymous...","","United States","Rickard Falkvinge","29 members who run Pirate Party International","Unknown count of total members in USA",""
"Pirate Parties Across the World","The Pirate Party is one of the fastest growing political movements today. It was started on January 1, 2006, originally named Piratpartiet in Sweden. It aims to change the world through politics of protesting and political deliberation. A majority of their issues deal with reforming copyright laws, the first amendment, and increasing the rights to privacy.  
The Pirate Party is the social progressive party in the United States and other parts of the World. It focuses on the “civil liberties, intellectual property reform, and the empowerment of people to have good, long, healthy lives and to have equal voice in government” (McCrea). Activists of this party can be defined as being apart of a liberal/ progressive political party.  Founder Rickard Falkvinge, ultimately hopes to restore people’s freedom of speech back to the way it was 40 years ago, our parents era, where there was minimal tracking (TEDxTalks).  
Today, the Pirate Party has been established in 56 countries. It not only holds two seats in European parliament and 15 seats in the Berlin Parliament, but also over 150 seats in local councils.  It is also the largest party for voters under the age of 30 in Sweden (TEDxTalks).","Mission and PurposeThe Pirate Party’s goal is to change laws that are compromising copyrights and the rights to privacy. They believe in complete freedoms of speech and openness, free from censorships, wire-tapping, and the inability to be anonymous. In...","Varies for different parties","United States","Rickard Falkvinge","50 elected on a National Level and 200 for local.","","34,000 activists in Germany, 14,000 in Sweden"
"PlaceSpeak","PlaceSpeak advances public consultation to a whole new level by enabling evidence-based decision-making by allowing citizens to influence the process in an open, safe, secure and transparent manner.","About PlaceSpeakPlaceSpeak is revolutionizing the online public consultation business. Public consultation is required broadly as part of the democratic process. Governments at all levels directly or indirectly require consultation on a range of issues,...","","Canada","Colleen Hardwick (Nystedt)","9","1",""
"Plataforma Mesa de la Ría","","QUE ES MESA DE LA RIASomos un movimiento social compuesto por más de 30 colectivos entre los que se encuentran partidos políticos, sindicatos, ecologistas, Colegios Oficiales, Asociaciones de Vecinos, ONG´s, etc. y ciudadanos que individualmente...","","Spain","","","",""
"Poitou-Charentes' Regional Council","","Note:  This article is a stub and the Participedia community will appreciate any work you can do to help us complete it by providing additional content and/or editing existing content. Thank you!Mission and Purpose History Specializations and activities ...","","United States","","","",""
"PositionDial",""," Mission and PurposePositionDial aims to solve two connected problems that fundamentally affect how we organise as a society: trust and navigation.Low trust in business, media, government and other institutions - driven by a lack of perceived...","","","","","",""
"President Clinton's Initiative on Race","","Mission and PurposeOn June 14, 1997, President William Jefferson Clinton proclaimed ""One America in the 21st Century: The President's Initiative on Race."" The initiative was a fundamental factor in President Clinton's intentions to transform the United...","","","Judith A. Winston","","",""
" Prime Minister’s Office – Regional Administration and Local Government (PMO-RALG) of Tanzania","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Procedere","In the last decades we have been experiencing an incredible technology boom in the field of participatory methods and procedures. But when to use which tool in which situation? For that the Procedere-Verbund as research and development network was founded in 2005.","In the last decades we have been experiencing an incredible technology boom in the field of participatory methods and procedures. Currently we have already hundreds of tools of how to organize processes of public deliberation, community organizing and...","","","","","",""
"Propuestas por México - Proméxico","Formar líderes integrales a través de la participación ciudadana universitaria.","Mission and PurposeFormar líderes integrales con base en el desarrollo de propuestas ciudadanas para el desarrollo social de México.HistoryFundada en 1994 por jóvenes universitarios en la ciudad de Monterrey, Nuevo León, México.Specializations and...","","Mexico","","","","25"
"Public Agenda","","Public Agenda is a nonprofit, nonpartisan organization in the United States that undertakes ongoing issues and “provides citizens and leaders the tools they need to tackle them.” PublicAgenda is afflicted with multiple sources that all focus on ensuring...","","","Daniel Yankelovich","37","",""
"Public Conversations Project","","Purpose and MissionThere have been many organizations that have worked to create dialogues between people of opposing views in order to constructively address conflicts that are important to the people but the way they do this is what has received...","1","","Laura Chasin","18","",""
"Queensland State Government","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Referendum Platform","","The Referendum Platform campaigns for the introduction of more direct democracy in The Netherlands and Europe.Currently we campaign for the introduction of the European citizen initiative, through which citizens can put issues directly on the EU agenda...","","","","","",""
"Regards Citoyens","Regards Citoyens is a group of volunteers formed on the web. In June 2010 they became a formal association with the overall aim of promoting citizens free access to and use of public data.","Mission and PurposeThe association has put down the following objectives: (i) create tools that help citizen to evaluate public policy and the activities of the elected; (ii) promote the use of public data; (iii) promote free licence of public data; and...","","France","","","",""
"Region of Tuscany","","Note:  This article is a stub and the Participedia community will appreciate any work you can do to help us complete it by providing additional content and/or editing existing content. Thank you! Mission and Purpose History Specializations and activities...","","United States","","","",""
"Regional Council of Veneto","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Regional District of Okanagan-Similkameen","Local government for the South Okanagan and Similkameen regions of British Columbia, Canada","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
" Regional Ministry of Innovation, Science and Enterprise of Andalusia","","","","United States","","","",""
"RESOLVE","","Mission and PurposeRESOLVE builds strong, enduring solutions to environmental, social, and health challenges. We help community, business, government, and NGO leaders get results and create lasting relationships through collaboration. RESOLVE is an...","","","Stephen D’Esposito and Dave Baker","18","",""
"Royal Institution of Australia (RiAus)","RiAus supports scientific debate in response to local issues for Australia and challenges facing the globe. RiAus has several aims, one of which is to engage the public, decision-makers and opinion-leaders in dialogue and policy debate around science.","Mission and PurposeTo 'bring science to people and people to science’.Our vision is that science is recognised as pivotal in everyday life. RiAus will make science accessible for Australians, the Asia-Pacific Region and the rest of the world.We will...","","Australia","","","",""
"Sadhana",""," Note:  This article is a stub and the Participedia community will appreciate any work you can do to help us complete it by providing additional content and/or editing existing content. Thank you!Mission and Purpose History Specializations and activities...","","United States","","","",""
"Science in Society programme, European Commission","","Mission and PurposeThe European Commission is one of the European Institutions. It has the right of initiative and is the guardian of the European Treaties. See http://europa.eu/ (24 languages available) for more information.The EC is active, inter alia...","","United States","","","",""
"Sciencewise","","Mission and PurposeSciencewise-ERC aims to help policy makers commission and use public dialogue to inform policy decisions in emerging areas of science and technology.They aim to provide a comprehensive online resource of information, advice and...","","","Alan Mercer","","",""
"Scottish Community Development Centre","","The Scottish Community Development Centre (SCDC) launched as a Company Ltd by Guarantee and registered Charity in Scotland on the 1st July 2009. Previously a partnership between the Community Development Foundation (CDF) and the University of Glasgow,...","","United Kingdom","","","",""
"Scottish Health Council","","The Scottish Health Council was established in 2005 to promote Patient Focus and Public Involvement (PFPI) in the NHS in Scotland. A key aspect of its role is to support NHS Boards and monitor how they carry out their statutory duty to involve patients...","","United Kingdom","","","",""
"Senate Department for Urban Development Berlin","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Senator Online","","1 Your Voice Direct in Parliament2 Democracy through Technology3 SOL's Purpose4 Senator Online 2010 Election WrapYour Voice Direct in ParliamentDemocracy should be government directed by your voice. And that's what Senator Online is all about - giving...","","Australia","","","",""
"Seoul National University","","Note:  This article is a stub and the Participedia community will appreciate any work you can do to help us complete it by providing additional content and/or editing existing content. Thank you!Mission and Purpose History Specializations and activities ...","","United States","","","",""
"Shape Burlington","","Shape Burlington was established in November 2009. Its objective is to engage the voice, viewpoints, and concerns of the people of Burlington, Ontario, in a discussion as to new methods of involving people in city affairs. It aims to find better ways to...","","Canada","John Boich and Walter Mulkewich","","","30"
"Shaping America's Youth (SAY)","","Note:  This article is a stub and the Participedia community will appreciate any work you can do to help us complete it by providing additional content and/or editing existing content. Thank you!Mission and Purpose History Specializations and activities ...","","United States","","","",""
"Shared Future CIC","","Mission and PurposeWe are a community interest company primarily serving the North West of England, and with associates based across the UK.Our aim is to provide an excellent service that makes a difference to communities and individuals and works...","","","","","",""
"Shoreline Master Program Update (Kitsap County)","In 1971, the people of the State of Washington voted for the Shoreline Management Act (SMA). This ultimately created three primary purposes: 1) To protect ecological functions; 2) To accommodate appropriate uses; and 3) To maintain public access. The Shoreline Master Program (SMP) implements the policies of the SMA at the local level by regulating use and development along shorelines. The Department of Ecology is responsible for ensuring that the local SMP is consistent with the intent of the SMA, and has final approval authority.  As part of a comprehensive update to the SMP of Kitsap County, a task-force of citizens with shoreline-related interests were to be selected to work with County staff to develop goals, policies, and to assist in recommending regulations on SMP issues that need to be updated.  The Kitsap County Board of Commissioners authorized the development of an SMP task-force and was funded to assist until June 30, 2011 or longer should sufficient resources be available. On March 8, 2010, the task-force plan was adopted and 20 volunteer citizens were selected by the Kitsap County Board of Commissioners, signed by then Chairperson Josh Brown and Commissioner Steve Bauer.  The members of the task-force were then charged with the responsibility to recommend new policy, regulations, and environmental designations, as deemed necessary by the SMP update. To do so, they were instructed to utilize all existing information including the shoreline inventory and characterization, become familiar with the established work plan and focus on specific topics from that work plan, work cooperatively with Kitsap County staff, and review draft shoreline regulations that were to be guided by the Shoreline Management Act major policy goals. The final task-force meeting took place on January 24, 2012, whereby the most current SMP recommendation was voted upon and submitted to the Department of Ecology for further approval.","Mission and PurposeShoreline Master Programs are local land use policies and regulations designed to manage shoreline use. These local programs protect natural resources for future generations, provide public access to public waters and shores, and plan...","","United States","","","","20"
"Simon Fraser University Centre for Dialogue","","","","United States","","","",""
"SimSim-Participation Citoyenne","","Mission and PurposeSimSim-Citizen Participation is a Moroccan non-profit, independent of political influence association that aims to use information and communications technology (ICT) to support and facilitate the participation of citizens in...","","","Hind Kabaj","14","",""
"Social Justice Coalition (SJC)","The Social Justice Coalition is a membership based social movement that works to promote and protect the enjoyment of the rights established in the South African Constitution, particularly socio-economic rights. Their purpose is to ensure equal access and quality of service. The movement’s aim has been to advance the constitutional rights to life, dignity, equality, freedom and safety for all people, but especially those living in informal settlements across South Africa through actions that ensure that these constitutional rights are enjoyed in practice."," Mission and PurposeThe Social Justice Coalition is a membership based social movement that works to promote and protect the enjoyment of the rights established in the South African Constitution, particularly socio-economic rights. Their purpose is to...","","","","","",""
"Society for Participatory Research in Asia (PRIA), New Delhi, India","","","","United States","","","",""
"Sociocracy.info","Sociocracy.info is comprehensive guide to sociocracy, a collaborative governance method based on consensus with leadership and policy-making distributed to all levels of the organization.","Mission and PurposeTo provide a comprensive resource on sociocracy as a method of governance and organization.HistoryThe website was begun by Sharon Villines, co author of We the People: Consenting to a Deeper Democracy in 2006. It has continued to add...","","","","","",""
"Sociolab","Sociolab is a decision-making support agency that deploys the social sciences in the service of brands and institutions.","Note: this article is a stub. Please help us complete it. Mission and Purpose History Specializations and activities Major projects and eventsSee for example: http://participedia.net/en/cases/participatory-budgeting-san-marcello-fa...http://participedia....","","","Abdu Gnaba","","",""
"Song of a Citizen","Song of a Citizen is a non-profit, non-partisan collaboration of prominent thinkers and artists producing innovative films and videos designed to spark a much-needed upgrade in how we-the-people view our role as citizens -- and to showcase proven methods for transforming ourselves from passive civic spectators into hands-on political problem-solvers.","The original version of this case study first appeared on Vitalizing Democracy in 2010 and was a contestant for the 2011 Reinhard Mohn Prize. It was originally submitted by Jeffrey Abelson.""Song Of A Citizen"" is a non-profit, non-partisan collaboration...","","United States","Jeffrey Abelson","","",""
"Sopinspace","Sopinspace is a private firm, founded in 2004 by Philippe Aigrain. The firm designs innovative software tools and organizes online debates and consultations in Europe.","Mission and Purpose The firm's policy is guided by two main principles: to make possible for all citizens, in full respect of their diversity of opinions, to build and express their views in quality debates; and to provide decision makers with reliable...","","France","Philippe Aigrain","6","",""
"Sopot Development Initiative (SIR- Sopocka Inicjatywa Rozwojowa)","","The following is a suggested structure. We recommend users follow these headings to make it easier to compare and analyze entries.Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources ...","","","","","",""
"State Chancellery of the Republic of Estonia","","","","United States","","","",""
"Stichting Lodewijk de Raet","","Stichting Lodewijk de Raet versterkt de sociale competenties die mensen inzetten om volwaardig te participeren, zowel in private en publieke organisaties, als in de brede samenleving. De kernactiviteiten bestaan uit het ontwikkelen en begeleiden vorming...","","Belgium","Yves Larock","","",""
"SustainableJersey","","","","","","","",""
"Sustained Dialogue Campus Network","","OverviewSDCN, Sustained Dialogue Campus Network, was created by the president of IISD and runs off of the same principle. The participating college students are using this process to effectively handle separation throughout their campus communities....","","","","","",""
"Sustained Dialogue Institute ","","OverviewIISD, International Institute for Sustained Dialogue, was created in 2002 by the president of the Kettering Foundation. IISD has a main goal of uniting people to have an opportunity to talk that have intense backgrounds. Sustained Dialogue is...","","","","","",""
"Svojpolitik.si","","Here in Slovenia we are also trying to establish an EDD kind of political party called Svojpolitik.si (this is also our web address; rough translation- you are your own politician). But our ultimate goal is to form a viable system for independent...","","Slovenia","","","",""
"TAC CORDILLERA : TALLER DE ACCIÓN COMUNITARIA","","ABSTRACTThe workshop for Community Action (TAC) is a functional community organization that emerges in 1989 in the Cerro Cordillera, Valparaíso.Its fundamental objective is to promote community development, form the generation of new practices in the...","","Chile","Patricia Castillo","","","200"
"Taller de Diseño Colaborativo","El propósito de este taller es acercar a estudiantes de arquitectura, arquitectura paisajista, urbanismo, planificación, diseño e ingeniería a la realidad de las personas que habitan y utilizan los espacios que proyectan en un entorno colectivo. Los estudiantes aprenden de la experiencia de las personas (habitantes/usuarios para quienes trabajen y con quienes colaboren) en los espacios que habitan y toman en cuenta sus necesidades, sus aspiraciones y su conocimiento del lugar al momento de proyectar. Conjuntamente estas personas aprenden del conocimiento académico y técnico de los futuros arquitectos y se sienten capacitados para continuar manteniendo y desarrollando el espacio en el que residen. El taller se especializa en el diseño y construcción de espacios de uso común. La finalidad es que juntos, futuros arquitectos y habitantes, colaboren en la creación de espacios habitables de calidad. Se utiliza el concepto colaboración porque implica una igualdad de condiciones.","The following is a suggested structure. We recommend users follow these headings to make it easier to compare and analyze entries.Mission and PurposeObjetivos Generales:1. Salvar la brecha que muchas veces existe entre la academia y la práctica,...","","Puerto Rico","","","",""
"Tasmania Together","Tasmania Together is a community action plan that was developed by a broad group of citizens in conjunction with the Tasmanian government in order to promote long-term social, economic, and environmental goals of the Australian state. The project calls for heavy community involvement and feedback about issues that are most relevant and important to the Tasmanian community. The plan currently includes 12 goals and 155 benchmarks indicating the most important community issues expressed in deliberative discussions in 2000, 2005, and 2011.[1] These goals and benchmarks are monitored and reported on by a Progress Board, consisting of nine members (although legislation was passed by Parliament in 2012 to repeal the employment of the Progress Board, and instead use government agencies to report progress in an effort to reduce state funding to the plan). The plan also requires the Progress Board to issue reviews and recommendations for any addition, alteration, or deletion of current goals or benchmarks in order to ensure the plan is operating at maximum potential and securing a prosperous future for the Tasmanian community.","MissonTasmania Together is a community action plan that was developed by a broad group of citizens in conjunction with the Tasmanian government in order to promote long-term social, economic, and environmental goals of the Australian state. The project...","$500,000-$1 million","Australia","Bob Campbell (Chair)","9","",""
"TED","","TED (Technology, Entertainment, Design), whose motto is “Ideas Worth Spreading”, is a 501(c)(3) non-profit organization operated/curated by the Sapling Foundation.[1] Formed in 1984, TED and its subsidiaries gather scholars of varied disciplines and...","2","","Chris Anderson","87","Varies","Varies"
